"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
"Verifone, Inc.","www.verifone.com","SHOPAK","5.01","POS Suite/General","Petroleum Industry  Specifically Shell licensed petroleum stations and convenience stores.","12-01.00154.052","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","9 Feb 2013","28 Oct 2016","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. Shell has contracted VeriFone to modify this software to work with the Shell payment gateway (and First Data for debit transactions). This customized software is labeled SHOPAK."
"Verifone, Inc.","www.verifone.com","SHOPAK","5.03.01","POS Suite/General","Petroleum Industry  Specifically Shell licensed petroleum stations and convenience stores.","12-01.00154.052.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","11 Feb 2014","28 Oct 2016","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. Shell has contracted VeriFone to modify this software to work with the Shell payment gateway (and First Data for debit transactions). This customized software is labeled SHOPAK."
"Verifone, Inc.","www.verifone.com","SHOPAK","5.04","POS Suite/General","Petroleum Industry  Specifically Shell licensed petroleum stations and convenience stores.","12-01.00154.052.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","25 Apr 2014","28 Oct 2016","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. Shell has contracted VeriFone to modify this software to work with the Shell payment gateway (and First Data for debit transactions). This customized software is labeled SHOPAK."
"Verifone, Inc.","www.verifone.com","SHOPAK","5.05","POS Suite/General","Petroleum Industry  Specifically Shell licensed petroleum stations and convenience stores.","12-01.00154.052.caa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","16 Oct 2016","28 Oct 2016","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. Shell has contracted VeriFone to modify this software to work with the Shell payment gateway (and First Data for debit transactions). This customized software is labeled SHOPAK."
"Verifone, Inc.","www.verifone.com","SHOPAK","5.06","POS Suite/General","Petroleum Industry  Specifically Shell licensed petroleum stations and convenience stores.","12-01.00154.052.daa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. Shell has contracted VeriFone to modify this software to work with the Shell payment gateway (and First Data for debit transactions). This customized software is labeled SHOPAK."
"Verifone, Inc.","www.verifone.com","SoftPay","4.0","POS Suite/General","VeriFone SoftPay provides merchant-operated, consumer-facing payment systems for the financial and retail industries.","12-01.00154.053","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","12 Dec 2012","28 Oct 2013","NetSPI","The SoftPay application supports a wide range of businesses such as retail, restaurant, lodging and more. VeriFone Inc. (VeriFone) develops and licenses the SoftPay payment application as the base platform application used on VeriFone Vx Solutions and VX Evolution payment terminals. The Vx series terminals offers a suite of Point of Sale terminals that use communication technologies such as: Modem, Ethernet, WiFi, CDMA and GPRS."
"Verifone, Inc.","www.verifone.com","SoftPay","3.2","POS Suite/General","Retail, restaurants, and lodging","09-01.00154.012","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","10 Jan 2013","28 Oct 2013","NetSPI","online sales, phone orders, tab management, off line sale, refund, void, authorization, check verification, and settlement"
"Verifone, Inc.","www.verifone.com","Global Canada","CRGN4320N","POS Suite/General","A typical merchant is a small merchant with a single cash register and one credit card machine per store. The majority of the customers are dialup customers; however, IP communications and cellular ar","09-01.00154.012.aaa","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","9 Dec 2012","28 Oct 2013","NetSPI","The SoftPay application supports a wide range of businesses such as retail, restaurant, lodging and more. VeriFone Inc. (VeriFone) develops and licenses the SoftPay payment application as the base platform application used on VeriFone Vx Solutions and VX Evolution payment terminals. The Vx series terminals offers a suite of Point of Sale terminals that use communication technologies such as: Modem, Ethernet, WiFi, CDMA and GPRS."
"Verifone, Inc.","www.verifone.com","Global Canada SoftPay Verix Application with ECRi","CRGN4320N","POS Suite/General","A typical merchant is a small merchant with a single cash register and one credit card machine per store.","09-01.00154.012.baa","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","9 Dec 2012","28 Oct 2013","NetSPI","The SoftPay application supports a wide range of businesses such as retail, restaurant, lodging and more. VeriFone Inc. (VeriFone) develops and licenses the SoftPay payment application as the base platform application used on VeriFone Vx Solutions and VX Evolution payment terminals. The Vx series terminals offers a suite of Point of Sale terminals that use communication technologies such as: Modem, Ethernet, WiFi, CDMA and GPRS."
"Verifone, Inc.","www.verifone.com","SPSPAK","3.00","POS Suite/General","Convenience Stores / Fuel","10-01.00154.026","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","1 Mar 2013","28 Oct 2013","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire and Ruby. The software is customized to work with a specific processor. Heartland Payment Systems has contracted VeriFone to modify this software to work with the HPS payment gateway. This customized software is labeled SPSPAK. Part of this modification included upgrades to various systems to meet PA-DSS compliance. SPSPAK requires the use of a Sapphire or Ruby site controller. SPSPAK can run in a Ruby-only or a Ruby/Sapphire configuration. Topaz terminals are not used by SPSPAK. SPSPAK uses the Sapphire or one Ruby as the site controller, and Ruby systems as payment terminals. SPSPAK is a suite of applications that run on Sapphire and Ruby machines. At a minimum, one Ruby is required. This Ruby would function as both the site controller and the payment terminal. SPSPAK is sold to merchants as a complete networked system. For Sapphire based setups, this includes a layer 3 filtering router that is preconfigured by VeriFone and a stand-alone Windows-based PC (referred to as the V950 or HPV20) that is used to connect to the web-based configuration tool. The router, V950 and HPV20 do not run SPSPAK software and were not included in the scope of the validation. For Ruby only configurations, any number of Rubies can be configured and connected together by the use of the serial based GemLAN. One Ruby is required to be installed as a site controller. SPSPAK supports card present credit, manual key entry credit and debit transactions. SPSPAK supports manual key entry transactions with CVV2 data. The prompting of CVV2 data is optional and configurable, by an administrator, via the menu. SPSPAK does not support store and forward functionality. SPSPAK does not support settlement. All settlement data is stored on the HPS payment gateway. SPSPAK on Sapphire/Ruby does not support chargebacks. SPSPAK Sapphire/Ruby is not part of a web-based payment system. The Sapphire system does include a web service, but it is used only for reporting and management purposes and not for processing card data. This service is not accessible via the Internet and is only used internally. In this sense, SPSPAK does contain web-based components making requirement 5.2 in scope for this assessment but would not be considered a web-based payment system. VeriFone provides all hardware required for transaction processing. The merchant needs to provide a method for processing transactions. For SPSPAK, all transactions are performed via the RS-232 port that is connected to an external, third party serial to VSAT converter."
"Verifone, Inc.","www.verifone.com","SPSPAK","3.00.05","POS Face-to-Face/POI","Convenience Stores / Fuel","10-01.00154.026.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire and Ruby. The software is customized to work with a specific processor. Heartland Payment Systems has contracted VeriFone to modify this software to work with the HPS payment gateway. This customized software is labeled SPSPAK. Part of this modification included upgrades to various systems to meet PA-DSS compliance. SPSPAK requires the use of a Sapphire or Ruby site controller. SPSPAK can run in a Ruby-only or a Ruby/Sapphire configuration. Topaz terminals are not used by SPSPAK. SPSPAK uses the Sapphire or one Ruby as the site controller, and Ruby systems as payment terminals. SPSPAK is a suite of applications that run on Sapphire and Ruby machines. At a minimum, one Ruby is required. This Ruby would function as both the site controller and the payment terminal. SPSPAK is sold to merchants as a complete networked system. For Sapphire based setups, this includes a layer 3 filtering router that is preconfigured by VeriFone and a stand-alone Windows-based PC (referred to as the V950 or HPV20) that is used to connect to the web-based configuration tool. The router, V950 and HPV20 do not run SPSPAK software and were not included in the scope of the validation. For Ruby only configurations, any number of Rubies can be configured and connected together by the use of the serial based GemLAN. One Ruby is required to be installed as a site controller. SPSPAK supports card present credit, manual key entry credit and debit transactions. SPSPAK supports manual key entry transactions with CVV2 data. The prompting of CVV2 data is optional and configurable, by an administrator, via the menu. SPSPAK does not support store and forward functionality. SPSPAK does not support settlement. All settlement data is stored on the HPS payment gateway. SPSPAK on Sapphire/Ruby does not support chargebacks. SPSPAK Sapphire/Ruby is not part of a web-based payment system. The Sapphire system does include a web service, but it is used only for reporting and management purposes and not for processing card data. This service is not accessible via the Internet and is only used internally. In this sense, SPSPAK does contain web-based components making requirement 5.2 in scope for this assessment but would not be considered a web-based payment system. VeriFone provides all hardware required for transaction processing. The merchant needs to provide a method for processing transactions. For SPSPAK, all transactions are performed via the RS-232 port that is connected to an external, third party serial to VSAT converter."
"Verifone, Inc.","www.verifone.com","SPSPAK","3.01","POS Suite/General","Petroleum Industry","10-01.00154.026.baa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Trustwave Holdings, Inc.","Integrated POS solution that combines card processing, fuel dispensing, dispenser card reader control (DCR), and Electronic Cash Register (ECR) functions to meet the needs of fast paced petroleum/c-store operations."
"Verifone, Inc.","www.verifone.com","Suite - BP","1.06","Automated Fuel Dispenser","Petroluem industry","16-11.00154.088","PA-DSS v3.1","Acceptable for New Deployments","21 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - BP is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BP contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - BP","1.09","Automated Fuel Dispenser","Petroluem industry","16-11.00154.088.baa","PA-DSS v3.1","Acceptable for New Deployments","18 Jul 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - BP is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BP contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - BUYPASS","2.08","Automated Fuel Dispenser","Petroluem industry","16-11.00154.089","PA-DSS v3.1","Acceptable for New Deployments","23 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - BUYPASS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BUYPASS contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - BUYPASS","3.02","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.095","PA-DSS v3.1","Acceptable for New Deployments","17 Aug 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - BUYPASS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BUYPASS contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - BUYPASS","3.03","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.095.aaa","PA-DSS v3.1","Acceptable for New Deployments","29 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - BUYPASS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BUYPASS contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - BUYPASS","3.05.XX","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.095.baa","PA-DSS v3.1","Acceptable for New Deployments","8 Nov 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - BUYPASS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BUYPASS contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Chevron","1.06","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.103","PA-DSS v3.1","Acceptable for New Deployments","12 Aug 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Chevron is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Commander Site Controller manages the card swipe and PIN data from both the Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices, respectively. The Payment Controller is the sole custodian of card holder data. In addition, the VeriFone Payment Controller with POS Application supports the Topaz, Ruby2, Ruby CI, and Smart Fuel Controller; provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Chevron","1.07","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.103.aaa","PA-DSS v3.1","Acceptable for New Deployments","29 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Chevron is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Commander Site Controller manages the card swipe and PIN data from both the Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices, respectively. The Payment Controller is the sole custodian of card holder data. In addition, the VeriFone Payment Controller with POS Application supports the Topaz, Ruby2, Ruby CI, and Smart Fuel Controller; provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - CITGO","1.03","Automated Fuel Dispenser","Petroluem industry","16-11.00154.090","PA-DSS v3.1","Acceptable for New Deployments","23 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - CITGO is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - CITGO contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Heartland","1.02","Automated Fuel Dispenser","Petroluem industry","16-11.00154.091","PA-DSS v3.1","Acceptable for New Deployments","23 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Heartland is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - Heartland contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Heartland","1.05","Automated Fuel Dispenser","Petroluem industry","16-11.00154.091.aaa","PA-DSS v3.1","Acceptable for New Deployments","18 Jul 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Heartland is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - Heartland contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Marathon","1.02","Automated Fuel Dispenser","Petroluem industry","16-11.00154.092","PA-DSS v3.1","Acceptable for New Deployments","23 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Marathon is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - Marathon contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - NBS","1.03","Automated Fuel Dispenser","Petroluem industry","16-11.00154.093","PA-DSS v3.1","Acceptable for New Deployments","23 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - NBS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - NBS contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - NBS","2.00","Automated Fuel Dispenser","Petroluem industry","16-11.00154.093.aaa","PA-DSS v3.1","Acceptable for New Deployments","29 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - NBS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - NBS contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - NTS-VAPS","1.02","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.096","PA-DSS v3.1","Acceptable for New Deployments","17 Aug 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - NTS-VAPS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BP contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - NTS-VAPS","1.06.XX","Automated Fuel Dispenser","Retail, Gas/Oil, Small/medium merchants, Petroleum Industry","17-11.00154.119","PA-DSS v3.2","Acceptable for New Deployments","24 Jan 2019","28 Oct 2022","Coalfire Systems, Inc","Note: the listed application name Suite - NTS-VAPS is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Commander Site Controller contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Phillips66","1.07","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.101","PA-DSS v3.1","Acceptable for New Deployments","19 Aug 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Phillips66 is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Commander Site Controller manages the card swipe and PIN data from both the Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices, respectively. The Payment Controller is the sole custodian of card holder data. In addition, the VeriFone Payment Controller with POS Application supports the Topaz, Ruby2, Ruby CI, and Smart Fuel Controller;"
"Verifone, Inc.","www.verifone.com","Suite - Shell","2.01","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.097","PA-DSS v3.1","Acceptable for New Deployments","17 Aug 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Shell is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BP contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Shell","2.04.XX","Automated Fuel Dispenser","Petroleum Industry","16-11.00154.097.aaa","PA-DSS v3.1","Acceptable for New Deployments","8 Nov 2018","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Shell is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - BP contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Worldpay","1.03","Automated Fuel Dispenser","Petroluem industry","16-11.00154.094","PA-DSS v3.1","Acceptable for New Deployments","23 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Worldpay is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - Worldpay contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","Suite - Worldpay","1.07","Automated Fuel Dispenser","Petroluem industry","16-11.00154.094.aaa","PA-DSS v3.1","Acceptable for New Deployments","29 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","Note: the listed application name Suite - Worldpay is a marketing term only and is the exact same code as Commander Site Controller as used throughout this listing. Suite - Worldpay contains the payment controller (PMC) application that manages the card swipe and PIN data from both Forecourt and free-standing PIN-pad devices associated with fueling positions and POS devices. It provides reporting of sales totals, configuration of peripheral devices, price book, POS users and application users."
"Verifone, Inc.","www.verifone.com","MARPAK on Sapphire/Topaz/Ruby","3.05","POS Suite/General","Convenience Stores","09-01.00154.019.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","21 Jan 2012","28 Oct 2013","Trustwave Holdings, Inc.","The Sapphire/Topaz/Ruby configuration is sold to merchants as a complete networked system."
"Verifone, Inc.","www.verifone.com","MARPAK on Sapphire/Topaz/Ruby","3.06","POS Suite/General","Petroleum Industry","09-01.00154.019.baa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","13 Jul 2012","28 Oct 2013","Trustwave Holdings, Inc.","The Sapphire/Topaz/Ruby configuration is sold to merchants as a complete networked system."
"Verifone, Inc.","www.verifone.com","MARPAK on Sapphire/Topaz/Ruby","3.06","POS Suite/General","Petroleum Industry","09-01.00154.019.caa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Trustwave Holdings, Inc.","The Sapphire/Topaz/Ruby configuration is sold to merchants as a complete networked system."
"Verifone, Inc.","www.verifone.com","XOMPAK on Sapphire/Topaz/Ruby","5.02","POS Suite/General","Petroleum Industry","09-01.00154.022.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","19 Jan 2012","28 Oct 2013","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. ExxonMobil has contracted VeriFone to modify this software to work with the ExxonMobil payment gateway. This customized software is labeled XOMPAK."
"Verifone, Inc.","www.verifone.com","XOMPAK on Sapphire/Topaz/Ruby","5.02.07","Automated Fuel Dispenser","Petroleum Industry","09-01.00154.022.baa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Trustwave Holdings, Inc.","VeriFone's PAK software suite runs on Sapphire, Topaz and Ruby. The software is customized to work with a specific processor. ExxonMobil has contracted VeriFone to modify this software to work with the ExxonMobil payment gateway. This customized software is labeled XOMPAK."
"Verifone, Inc.","www.verifone.com","UX iPOS Payment Core","R02.01","Automated Fuel Dispenser","Global petrol companies active in the Nordic region.","16-01.00154.109","PA-DSS v3.2","Acceptable for New Deployments","10 Mar 2019","28 Oct 2022","Adsigo AG","Core components for processing payment card transactions on Verifone hardware terminals."
"Verifone, Inc.","www.verifone.com","Ux iPOS PC","R03.01.xxx","Automated Fuel Dispenser","Global petrol companies active in the Nordic region.","17-11.00154.120","PA-DSS v3.2","Acceptable for New Deployments","26 Mar 2019","28 Oct 2022","Adsigo AG","Core components for processing payment card transactions on Verifone hardware terminals."
"Verifone, Inc.","www.verifone.com","VEPP NB","1.2.1.x","POS Face-to-Face/POI","Merchants","17-08.00154.111","PA-DSS v3.2","Acceptable for New Deployments","8 May 2018","28 Oct 2022","Foregenix Ltd.","The Verifone VEPP NB application is an application interface which easily integrates with EFT vendor software and host architecture. It utilises existing architectures and therefore does not require any additional dedicated servers or equipment, allowing merchants' POS systems to use one consistent system across a diverse range of payment types."
"Verifone, Inc.","www.verifone.com","VEPP NB","2.2.0.x","POS Face-to-Face/POI","Merchants","17-08.00154.114","PA-DSS v3.2","Acceptable for New Deployments","11 Dec 2018","28 Oct 2022","Foregenix Ltd.","The Verifone VEPP NB application is an application interface which easily integrates with EFT vendor software and host architecture. It utilises existing architectures and therefore does not require any additional dedicated servers or equipment, allowing merchants' POS systems to use one consistent system across a diverse range of payment types."
"Verifone, Inc.","www.verifone.com","VEPP NB","2.3.0.x.x","POS Face-to-Face/POI","Merchants","17-08.00154.122","PA-DSS v3.2","Acceptable for New Deployments","21 Mar 2019","28 Oct 2022","Foregenix Ltd.","The Verifone VEPP NB PA-DSS application is an application interface which easily integrates with EFT vendor software and host architecture. It utilises existing architectures and therefore does not require any additional dedicated servers or equipment, allowing merchants' POS systems to use one consistent system across a diverse range of payment types."
"Verifone, Inc.","www.verifone.com","Verifone EFTsec","4.0.X","Payment Middleware","Retail, Processors, Small/medium merchants, and Acquirers","17-02.00154.112","PA-DSS v3.2","Acceptable for New Deployments","22 May 2018","28 Oct 2022","Coalfire Systems, Inc","EFTsec provides an integrated solution for acquirers and processors who wish to introduce terminal data encryption into their POS network infrastructure."
"Verifone, Inc.","www.verifone.com","VIPER (First Data)","3.06a","Payment Middleware","Oil Companies","10-02.00154.024","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2009","2 Mar 2011","Trustwave Holdings, Inc.","VIPER, VeriFoneâs JAVA based payment solution, controls all in-store and Pay at the Pump credit card transactions, payment host messaging and settlement, and reporting for payment transactions independent from the point of sale (POS) terminal. Viper uses centrally controlled operational parameters to control the card processing rules. The Viper payment application resides on a Java capable OS harddware  that is installed at the facility. POS and Pay at the Pump transactions are processed from the POS to the Viper application using the IFSF messaging protocol."
"Verifone, Inc.","www.verifone.com","VIPER (First Data)","3.07a","Payment Middleware","Oil Companies","10-02.00154.024.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","2 Dec 2011","2 Mar 2011","Trustwave Holdings, Inc.","VIPER, VeriFoneâ's JAVA based payment solution, controls all in-store and Pay at the Pump credit card transactions, payment host messaging and settlement, and reporting for payment transactions independent from the point of sale (POS) terminal. Viper uses centrally controlled operational parameters to control the card processing rules. The Viper payment application resides on a Java capable OS harddware  that is installed at the facility. POS and Pay at the Pump transactions are processed from the POS to the Viper application using the IFSF messaging protocol."
"Verifone, Inc.","www.verifone.com","VIPER","4.01","POS Specialized","Petroleum Industry","11-06.00154.036","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","2 Jun 2012","28 Oct 2013","Trustwave Holdings, Inc.","VIPER, VeriFone's JAVA based payment solution processed on the Paypoint network, controls all in-store and Pay at the Pump credit card transactions, payment host messaging and settlement, and reporting for payment transactions independent from the point of sale (POS) terminal."
"Verifone, Inc.","www.verifone.com","VIPER","4.02","POS Specialized","Petroleum Industry","11-06.00154.041","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","3 Jun 2012","28 Oct 2013","Trustwave Holdings, Inc.","VIPER, VeriFone's JAVA based payment solution processed on the Paypoint network, controls all in-store and Pay at the Pump credit card transactions, payment host messaging and settlement, and reporting for payment transactions independent from the point of sale (POS) terminal."
"Verifone, Inc.","www.verifone.com","Viper","4.03.01","POS Suite/General","Petroleum Industry","13-01.00154.058","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","8 Apr 2014","28 Oct 2016","Trustwave Holdings, Inc.","VIPER, VeriFone's JAVA based payment solution processed on the Paypoint network, controls all in-store and Pay at the Pump credit card transactions, payment host messaging and settlement, and reporting for payment transactions independent from the point of sale (POS) terminal."
"Verifone, Inc.","www.verifone.com","Viper","4.04","POS Suite/General","Petroleum Industry","13-01.00154.058.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","31 May 2015","28 Oct 2016","Trustwave Holdings, Inc.","VIPER, VeriFone's JAVA based payment solution processed on the Paypoint network, controls all in-store and Pay at the Pump credit card transactions, payment host messaging and settlement, and reporting for payment transactions independent from the point of sale (POS) terminal."
